person_age,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_log
21,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,9.169622538697624
25,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,9.169622538697624
23,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,11.089820688682373
24,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,10.904137815028022
21,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,9.200391041122515
26,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,11.252871529635922
24,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,11.276658679464603
24,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,11.326607934898927
21,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,9.210440366976517
22,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,11.350418300109132
21,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,9.210440366976517
23,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,11.461642696843066
26,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,11.591376136796182
23,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,11.652696102959753
23,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,13.122365377402328
23,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,11.695255355062795
23,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,11.430760506915592
23,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,11.635151947212842
24,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,9.287394001418473
25,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,11.998439434579149
25,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,11.827743504053695
22,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,11.082157933374816
24,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,9.303921785597714
22,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,11.289794413577894
24,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,11.123535457318734
21,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,9.305741456739435
23,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,9.305741456739435
24,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,11.082157933374816
21,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,9.340491056441229
21,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,9.351926736038054
25,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,11.695255355062795
26,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,11.461642696843066
25,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,12.631343648903034
26,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,12.611541086966115
21,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,9.392745258631441
22,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,10.778977123006351
24,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,11.06665398721974
25,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,11.225256725762893
23,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,11.177466714598282
26,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,11.035711906538346
24,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,9.392745258631441
26,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,12.611541086966115
23,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,12.611541086966115
26,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,12.611541086966115
26,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,12.611541086966115
25,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,12.611541086966115
26,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,11.29838232387519
22,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,11.101960259016467
26,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,11.396717438335704
24,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,11.264476926102367
23,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,11.264476926102367
23,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,11.429598202380475
23,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,11.48247656671073
25,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,11.695255355062795
26,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,12.54254845357358
26,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,12.532151774715706
23,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,12.531776395271262
25,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,11.759793355371237
24,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,9.392745258631441
