iter	Passed	Remaining
0	18	18254
1	37	18501
2	52	17399
3	68	17136
4	86	17128
5	103	17105
6	120	17145
7	137	17107
8	154	17052
9	176	17429
10	193	17400
11	212	17460
12	232	17623
13	250	17627
14	268	17631
15	286	17614
16	302	17492
17	322	17611
18	341	17622
19	357	17525
20	380	17725
21	400	17800
22	417	17738
23	435	17693
24	457	17830
25	474	17783
26	491	17717
27	507	17625
28	528	17696
29	546	17685
30	565	17691
31	583	17643
32	600	17596
33	618	17570
34	638	17601
35	655	17541
36	676	17597
37	692	17533
38	707	17444
39	723	17359
40	740	17313
41	757	17269
42	780	17368
43	801	17413
44	817	17359
45	832	17275
46	849	17221
47	865	17171
48	884	17169
49	901	17132
50	920	17133
51	937	17089
52	953	17045
53	970	16996
54	987	16960
55	1005	16955
56	1023	16927
57	1037	16857
58	1053	16810
59	1079	16913
60	1098	16917
61	1115	16874
62	1131	16832
63	1147	16788
64	1164	16752
65	1182	16737
66	1201	16734
67	1227	16817
68	1244	16790
69	1260	16751
70	1279	16741
71	1301	16774
72	1321	16780
73	1339	16756
74	1356	16730
75	1377	16751
76	1395	16722
77	1412	16696
78	1432	16695
79	1450	16676
80	1466	16642
81	1484	16614
82	1501	16592
83	1518	16557
84	1534	16521
85	1559	16573
86	1578	16564
87	1594	16521
88	1611	16493
89	1627	16459
90	1644	16430
91	1661	16399
92	1680	16387
93	1699	16381
94	1716	16352
95	1731	16309
96	1752	16312
97	1770	16299
98	1791	16307
99	1809	16288
100	1830	16290
101	1849	16280
102	1876	16344
103	1895	16327
104	1912	16298
105	1926	16252
106	1943	16221
107	1960	16194
108	1978	16169
109	1994	16135
110	2009	16094
111	2027	16078
112	2045	16056
113	2061	16025
114	2078	15992
115	2095	15969
116	2111	15935
117	2127	15902
118	2144	15874
119	2164	15875
120	2180	15843
121	2199	15826
122	2215	15797
123	2232	15773
124	2248	15742
125	2264	15710
126	2280	15675
127	2301	15681
128	2319	15663
129	2335	15633
130	2351	15599
131	2367	15569
132	2383	15537
133	2399	15505
134	2418	15496
135	2436	15476
136	2455	15464
